"Year","Year ending","AFM Sex","AFM Age Group","AFM Indigenous Status","AFM Counter"
2023,"March","Males","55-59 years","Aboriginal and/or Torres Strait Islander",45
2023,"March","Males","55-59 years","Non-Indigenous",1447
2023,"March","Males","55-59 years","Total People",1534
2023,"March","Males","60-64 years","Aboriginal and/or Torres Strait Islander",19
2023,"March","Males","60-64 years","Non-Indigenous",966
2023,"March","Males","60-64 years","Total People",1024
2023,"March","Males","65 years and over","Aboriginal and/or Torres Strait Islander",15
2023,"March","Males","65 years and over","Non-Indigenous",1829
2023,"March","Males","65 years and over","Total People",1954
2023,"March","Males","Total","Aboriginal and/or Torres Strait Islander",1237
2023,"March","Males","Total","Non-Indigenous",21307
2023,"March","Males","Total","Total People",23473
2023,"March","People","00-14 years","Aboriginal and/or Torres Strait Islander",348
2023,"March","People","00-14 years","Non-Indigenous",3817
2023,"March","People","00-14 years","Total People",4808
2023,"March","People","15-17 years","Aboriginal and/or Torres Strait Islander",362
2023,"March","People","15-17 years","Non-Indigenous",2820
2023,"March","People","15-17 years","Total People",3411
2023,"March","People","18-19 years","Aboriginal and/or Torres Strait Islander",257
2023,"March","People","18-19 years","Non-Indigenous",2328
2023,"March","People","18-19 years","Total People",2683
2023,"March","People","20-24 years","Aboriginal and/or Torres Strait Islander",751
2023,"March","People","20-24 years","Non-Indigenous",7007
2023,"March","People","20-24 years","Total People",8045
2023,"March","People","25-29 years","Aboriginal and/or Torres Strait Islander",787
2023,"March","People","25-29 years","Non-Indigenous",9351
2023,"March","People","25-29 years","Total People",10446
2023,"March","People","30-34 years","Aboriginal and/or Torres Strait Islander",747
2023,"March","People","30-34 years","Non-Indigenous",10642
2023,"March","People","30-34 years","Total People",11623
2023,"March","People","35-39 years","Aboriginal and/or Torres Strait Islander",705
2023,"March","People","35-39 years","Non-Indigenous",10788
2023,"March","People","35-39 years","Total People",11768
2023,"March","People","40-44 years","Aboriginal and/or Torres Strait Islander",576
2023,"March","People","40-44 years","Non-Indigenous",9738
2023,"March","People","40-44 years","Total People",10555
2023,"March","People","45-49 years","Aboriginal and/or Torres Strait Islander",408
2023,"March","People","45-49 years","Non-Indigenous",7868
2023,"March","People","45-49 years","Total People",8481
2023,"March","People","50-54 years","Aboriginal and/or Torres Strait Islander",330
2023,"March","People","50-54 years","Non-Indigenous",6533
2023,"March","People","50-54 years","Total People",7054
2023,"March","People","55-59 years","Aboriginal and/or Torres Strait Islander",204
