"Year","Year ending","Police Region","Local Government Area","Incidents Recorded","Rate per 100,000 population"
2022,"March","4 Western","Yarriambiack",298,4648.985959438
2022,"March","4 Western","Total",57117,5398.469975104
2022,"March","Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",899,
2022,"March","Justice Institutions and Immigration Facilities","Total",899,
2022,"March","Unincorporated Vic","Unincorporated Vic",73,
2022,"March","Unincorporated Vic","Total",73,
2021,"March","1 North West Metro","Banyule",6283,4932.872732983
2021,"March","1 North West Metro","Brimbank",14508,7378.287248704
2021,"March","1 North West Metro","Darebin",11461,7625.618778943
2021,"March","1 North West Metro","Hobsons Bay",4454,4827.29469908
2021,"March","1 North West Metro","Hume",15450,6257.08731573
2021,"March","1 North West Metro","Maribyrnong",7049,8159.981478266
2021,"March","1 North West Metro","Melbourne",25913,16924.433413885
2021,"March","1 North West Metro","Melton",9858,5436.017337024
2021,"March","1 North West Metro","Merri-bek",10148,5848.991354467
2021,"March","1 North West Metro","Moonee Valley",6118,4976.00650671
2021,"March","1 North West Metro","Nillumbik",1525,2403.467297084
2021,"March","1 North West Metro","Whittlesea",11450,4938.942591802
2021,"March","1 North West Metro","Wyndham",12701,4286.215670791
2021,"March","1 North West Metro","Yarra",10839,11843.183531648
2021,"March","1 North West Metro","Total",147757,6674.062366892
2021,"March","2 Eastern","Alpine",400,3038.128512836
2021,"March","2 Eastern","Bass Coast",2101,5165.334972342
2021,"March","2 Eastern","Baw Baw",3592,6234.162935194
2021,"March","2 Eastern","Benalla",994,6885.563868108
2021,"March","2 Eastern","Boroondara",5964,3512.595044438
2021,"March","2 Eastern","East Gippsland",3623,7473.647296656
2021,"March","2 Eastern","Greater Shepparton",5933,8658.027609958
2021,"March","2 Eastern","Indigo",427,2475.218827894
2021,"March","2 Eastern","Knox",8273,5155.127398259
2021,"March","2 Eastern","Latrobe",9070,11761.349637564
2021,"March","2 Eastern","Manningham",3354,2665.691736674
2021,"March","2 Eastern","Mansfield",388,3833.61327932
2021,"March","2 Eastern","Maroondah",5702,4912.341158734
2021,"March","2 Eastern","Mitchell",3162,6360.637270679
2021,"March","2 Eastern","Moira",1628,5361.082754306
2021,"March","2 Eastern","Monash",9527,4939.007636358
2021,"March","2 Eastern","Murrindindi",664,4386.022854878
2021,"March","2 Eastern","South Gippsland",1266,4166.118204554
2021,"March","2 Eastern","Strathbogie",452,3976.073187896
2021,"March","2 Eastern","Towong",152,2457.16133204
2021,"March","2 Eastern","Wangaratta",1658,5572.921918591
2021,"March","2 Eastern","Wellington",3223,7088.345906002
2021,"March","2 Eastern","Whitehorse",6953,4064.251769671
2021,"March","2 Eastern","Wodonga",2414,5587.057652695
2021,"March","2 Eastern","Yarra Ranges",6099,3874.324264234
2021,"March","2 Eastern","Total",87019,5111.15509791
