"soda_id","title","type","description","updated_at","page_views_total","domain_category"
"nt23-wzti","Map View: Average Water Network Capacity by Hexagon Area","map","<p>This dataset provides the average water network capacity (2025) within 200m x 200m hexagons, in Litres/second, for the City of Edmonton.</p><p>The following colours describe the capacity of the cit","2025-04-29T20:18:30.000Z",9495,"Externally Sourced Datasets"
"ahas-jskd","311 Requests - Top 10 by Neighbourhood","chart","This report displays the Top 10 requests by Neighbourhood and provides a brief description of the request.","2026-05-24T08:22:07.000Z",9417,"City Administration"
"ut27-nrpn","Parcel Addresses","dataset","<p>This asset contains address information for land parcels within The City of Edmonton.</p><p>The City of Edmonton has shifted the delivery of legal and title parcel mapping to the provincial governm","2026-05-18T08:07:56.000Z",9377,"Geospatial Boundaries"
"996c-239n","Edmonton Public School Board (EPSB)_School Locations","dataset","Edmonton Public School Board (EPSB) school locations.

Please see https://www.epsb.ca/schools/findaschool/.","2026-04-22T20:03:52.000Z",9276,"Externally Sourced Datasets"
"gdd9-eqv9","Parks","dataset","List of all park spaces in Edmonton","2026-05-18T08:02:15.000Z",9230,"Outdoor Recreation"
"fwq5-ux79","2013-2017 Council And Committee Meetings - Voting Record","dataset","Detailed Voting Record of each motion made at Council or selected Committee meetings (see attachment below for details). Members of Council or the Committee will be shown as voting ‘in favour’ ‘oppose","2022-05-03T16:36:34.000Z",9041,"City Administration"
"phd4-y42v","2016 Census - Population by Age Range (Neighbourhood/Ward)","dataset","All Census information is as of April 1, 2016. No data on any individual residence will be released. To protect the privacy of individuals, data is compiled and presented at the city, ward and neighbo","2019-07-17T17:09:54.000Z",8878,"Census"
"xzhy-xe8z","Public Charging Stations for Electric Vehicles","dataset","<p>A list of publicly available charging stations within the City of Edmonton, as reported by the National Laboratory of the Rockies (""NLR""). ""EVSE"" stands for ""Electric Vehicle Supply Equipment.""</p>","2026-03-04T15:57:41.000Z",8866,"Environmental Services"
"i5ap-8k5z","Neighbourhood-Level Federal Census Data","story","","2023-06-27T17:59:12.792Z",8813,NA
"phf8-mpfm","Fire Stations (Map View)","map","Location of fire stations throughout Edmonton. Also, data set identifies whether there is an emergency medical response unit associated with the fire station.","2026-05-18T08:23:42.000Z",8805,"Emergency Services"
"gqds-nq9g","City Quadrants Map","map","Spatial data representing the City quadrants.","2026-04-28T07:15:17.000Z",8775,"Administrative"
"da9s-v9j8","Approved Operating Budget - Expenses","dataset","Summary of the City of Edmonton's Financial Operating Budget by Fund Type, Department, Branch, and Program.

This dataset powers the Edmonton Open Budget site budget.edmonton.ca. Budget is as of March","2026-04-13T21:35:15.000Z",8635,"Financial"
"w7yp-px4i","COVID-19 in Alberta: Vaccination Sites","dataset","<p>This dataset includes pharmacy locations in Edmonton, and AHS clinics for the Edmonton area.</p><p>Pharmacy list retrieved 2025-12-31; Source was last updated 2025-12-29.</p><p>Pharmacy list source","2025-12-31T20:54:00.000Z",8623,"Externally Sourced Datasets"
"ih46-vxeq","2011-2013 Council and Committee Meetings - Voting Record","dataset","Detailed Voting Record of each motion made at Council or selected Committee meetings (see attachment below for details). Members of Council or the Committee will be shown as voting ‘in favour’ ‘oppose","2022-05-03T16:36:24.000Z",8589,"City Administration"
"y7yb-jtjn","2009 Census - Dwelling Unit By Structure Type And Ownership (Neighbourhood)","dataset","All Census information is as of April 1, 2009.
No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city-, ward- and nei","2019-07-17T16:45:52.000Z",8406,"Census"
"t839-xmi8","Ward 9 - COYS - Table View","filter","A list of special projects and major road construction sites planned for Ward 9.","2025-01-14T17:36:54.000Z",8397,"Transportation"
"uz9h-ceya","Secondary Suites (Completed Permits)","dataset","This data illustrates the locations of completed secondary suites within Edmonton. 
Necessary development and building permits have been issued for these secondary suites and they have been inspected ","2026-05-22T11:48:47.000Z",8381,"Urban Planning & Economy"
"5n6j-rw53","Historical: COVID-19 in Alberta: Rate of New Hospitalizations","dataset","Note: Date last updated is 2022-07-11, dataset no longer provided.

COVID-19 data for Alberta: Rate of new hospitalizations per 1,000,000 (7-day rolling average; average of current day and previous 6 ","2023-09-14T22:00:53.000Z",8308,"Community Services"
"ktwr-rn4x","Cycling in Edmonton","story","A story introducing the downtown bike grid, initial response data and our travel targets.","2017-09-19T22:13:21.805Z",8085,"Transportation Infrastructure"
"3r8m-cnxp","Orthophoto Repository 2025 - Map","map","Spectral resolution: Colour (3-band)
Spatial resolution: 7.5 cm
Image acquisition date: Sept–Oct 2025

Individual GeoTIFF files (~286MB each) may be downloaded via the Google Drive links provided in t","2026-02-26T21:20:50.000Z",8071,NA
"vfki-xv3i","All Photo Enforcement Zones","dataset","This spatial data represents the Zones or the Operational Areas where Photo Radar Enforcement is conducted. An enforcement unit can be found anywhere along the area of the Zone. Designated Zones are c","2025-10-14T20:42:34.000Z",8017,NA
"eg3i-f4bj","2021 Federal Census: Population","dataset","Statistics Canada data from the 2021 Census of Population, aligned to Edmonton's neighbourhood boundaries. For the neighbourhood boundaries as they were at the time of the census, please see https://d","2023-09-27T16:49:01.000Z",7672,"Census"
