"package_name","title","num_resources","metadata_modified","license"
"members-of-toronto-city-council-voting-record","Members of Toronto City Council - Voting Record",21,"2026-05-13T18:08:26.354402","notspecified"
"report-request-log-city-council-and-its-committees","Report Request Log – City Council and its Committees",4,"2026-05-13T16:32:11.870895","notspecified"
"library-branch-general-information","Library Branch General Information",11,"2026-05-13T14:19:00.322216","notspecified"
"public-art","Public Art",13,"2026-05-13T13:41:35.826593","open-government-licence-toronto"
"parking-tickets","Parking Tickets",19,"2026-05-13T12:26:19.647272","notspecified"
"permanent-bicycle-counters","Permanent Bicycle Counters",25,"2026-05-12T20:09:26.465589","notspecified"
"cafeto-curb-lane-parklet-cafe-locations","CaféTO Locations",9,"2026-05-12T18:55:19.225598","notspecified"
"labour-force-survey","Labour Force Survey",9,"2026-05-12T15:49:30.031278",NA
"street-furniture-bicycle-parking","Street Furniture - Bicycle Parking - Bicycle Locking Ring",25,"2026-05-12T03:06:10.334145","notspecified"
"city-of-toronto-free-public-wifi","City of Toronto Free Public WiFi",8,"2026-05-11T19:05:56.070423","notspecified"
"311-service-requests-customer-initiated","311 Service Requests - Customer Initiated",18,"2026-05-08T20:32:21.438621","notspecified"
"business-improvement-areas","Business Improvement Areas",13,"2026-05-08T03:05:43.599316","open-government-licence-toronto"
"green-spaces","Green Spaces",9,"2026-05-05T21:59:37.698087","notspecified"
"freedom-of-information-requests-summary","Freedom of Information Requests Summary",17,"2026-05-05T19:33:49.858272","notspecified"
"merged-gtfs-ttc-routes-and-schedules","Merged GTFS - TTC Routes and Schedules",1,"2026-05-05T14:36:11.005999","notspecified"
"surface-routes-and-schedules-for-bustime","Surface Routes and Schedules for BusTime",1,"2026-05-05T14:20:31.324266","notspecified"
"school-safety-zone-watch-your-speed-program-locations","School Safety Zone Watch Your Speed Program – Locations",13,"2026-05-05T12:00:31.320815","open-government-licence-toronto"
"mobile-watch-your-speed-program-speed-summary","Mobile Watch Your Speed Program – Speed Summary",4,"2026-05-05T12:00:20.622059","open-government-licence-toronto"
"safety-zone-watch-your-speed-program-monthly-summary","Safety Zone Watch Your Speed Program – Monthly Summary",4,"2026-05-05T10:20:07.641308","open-government-licence-toronto"
"apartment-building-registration","Apartment Building Registration",4,"2026-05-05T09:00:19.735676","open-government-licence-toronto"
"deaths-of-shelter-residents","Deaths of Shelter Residents",8,"2026-05-04T05:49:28.145472","notspecified"
"clothing-drop-box-locations","Clothing Drop-Box Locations",14,"2026-05-03T06:19:49.550051","open-government-licence-toronto"
"residential-fire-inspection-results","Residential Fire Inspection Results",8,"2026-05-02T12:21:09.205680",NA
"toronto-animal-services-service-requests-complaints","Toronto Animal Services - Service Requests & Complaints",7,"2026-05-01T20:27:51.701662","notspecified"
"parks-and-recreation-facilities","Parks and Recreation Facilities",9,"2026-05-01T20:25:02.836532","notspecified"
"toronto-signature-sites","Toronto Signature Sites",9,"2026-05-01T12:04:55.446414","open-government-licence-toronto"
"marriage-licence-statistics","Marriage Licence Statistics",4,"2026-05-01T12:00:28.959256","open-government-licence-toronto"
"stillbirth-registration-statistics","Stillbirth Registration Statistics",4,"2026-05-01T12:00:25.869919","open-government-licence-toronto"
"death-registry-statistics","Death Registry Statistics",4,"2026-05-01T12:00:22.187767","open-government-licence-toronto"
"bridge-structure","Bridge Structures",9,"2026-05-01T09:34:31.421079","notspecified"
"municipal-licensing-and-standards-toronto-animal-shelter-activity","Municipal Licensing and Standards - Toronto Animal Shelter Activity",19,"2026-05-01T05:10:05.967041",NA
"properties-requiring-a-cultural-heritage-evaluation-report-under-opa-720","Properties Requiring a Cultural Heritage Evaluation Report Under OPA 720",8,"2026-05-01T03:34:17.175604","notspecified"
"police-annual-statistical-report-traffic-collisions","Police Annual Statistical Report - Traffic Collisions",9,"2026-04-23T19:34:02.168379","notspecified"
"persons-in-crisis-calls-for-service-attended","Persons in Crisis Calls for Service Attended",4,"2026-04-23T18:33:55.053487","notspecified"
"mental-health-apprehensions","Mental Health Act Apprehensions",4,"2026-04-23T18:11:05.337075","notspecified"
"theft-from-motor-vehicle","Theft from Motor Vehicle",9,"2026-04-23T17:55:20.690139","notspecified"
"bicycle-thefts","Bicycle Thefts",13,"2026-04-23T17:42:11.746520","notspecified"
"shootings-firearm-discharges","Shootings & Firearm Discharges",13,"2026-04-23T17:33:59.619871","notspecified"
"police-annual-statistical-report-homicide","Police Annual Statistical Report - Homicides",21,"2026-04-23T17:28:12.411687","notspecified"
"major-crime-indicators","Community Safety Indicators",7,"2026-04-23T17:22:34.957961","notspecified"
"parking-occupancy","Parking Occupancy",4,"2026-04-23T13:54:29.467466","notspecified"
"budget-operating-budget-program-summary-by-expenditure-category","Budget - Operating Budget Program Summary by Expenditure Category",18,"2026-04-20T15:48:42.740661","notspecified"
